,app,category,rating,reviews,size,installs,type,price,content_rating,genres,update_year,update_month,update_day,update_weekday,last_updated,current_ver,android_ver,sentiment,sentiment_polarity,sentiment_subjectivity
0,Coloring book moana,ART_AND_DESIGN,3.9,967.0,14.0,500000.0,Free,0.0,Everyone,"['Design', 'Pretend Play', 'Art']",2018.0,1.0,15.0,Monday,2018-01-15,2,4.0.3,Positive,0.11791666666666667,0.6456944444444443
1,Garden Coloring Book,ART_AND_DESIGN,4.4,13791.0,33.0,1000000.0,Free,0.0,Everyone,"['Design', 'Art']",2017.0,9.0,20.0,Wednesday,2017-09-20,2.9.2,3,Positive,0.2684828944203944,0.5234474150677855
2,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216.0,39.0,5000000.0,Free,0.0,Everyone,"['Design', 'Art']",2018.0,8.0,3.0,Friday,2018-08-03,2.2.5,4.0.3,Positive,0.41264880952380956,0.6792261904761905
3,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654.0,12.0,100000.0,Free,0.0,Everyone,"['Design', 'Art']",2018.0,3.0,20.0,Tuesday,2018-03-20,1.1,4.0.3,Positive,0.26037037037037036,0.4725925925925927
4,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260.0,25.0,500000.0,Free,0.0,Everyone,"['Design', 'Art', 'Creativity']",2017.0,10.0,11.0,Wednesday,2017-10-11,1.0.8,4.0.3,Positive,0.1718359526825084,0.5727620177523428
5,Animated Photo Editor,ART_AND_DESIGN,4.1,203.0,6.1,100000.0,Free,0.0,Everyone,"['Design', 'Art']",2018.0,3.0,21.0,Wednesday,2018-03-21,1.3,4.0.3,Positive,0.27015151515151514,0.530993265993266
6,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035.0,11.0,100000.0,Free,0.0,Everyone,"['Design', 'Art']",2018.0,7.0,19.0,Thursday,2018-07-19,2.20,4,Positive,0.3609907670454546,0.5071180555555556
7,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015.0,11.0,100000.0,Free,0.0,Everyone,"['Design', 'Art']",2018.0,1.0,6.0,Saturday,2018-01-06,1.1,4.1,Positive,0.09945261437908497,0.5367647058823529
8,Floor Plan Creator,ART_AND_DESIGN,4.1,36639.0,Varies,5000000.0,Free,0.0,Everyone,"['Design', 'Art']",2018.0,7.0,14.0,Saturday,2018-07-14,Varies,2.3.3,Positive,0.26461547586547585,0.4655839280839281
9,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531.0,24.0,10000000.0,Free,0.0,Everyone,"['Design', 'Art']",2018.0,7.0,31.0,Tuesday,2018-07-31,1.6.1,4.1,Positive,0.20483956893496366,0.5360009824483508
10,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774.0,17.0,100000.0,Free,0.0,Everyone,"['Vehicles', 'Auto']",2018.0,7.0,3.0,Tuesday,2018-07-03,1.7,4.2,Positive,0.24112599206349206,0.477825176366843
11,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431.0,2.4,100000.0,Free,0.0,Everyone,"['Vehicles', 'Auto']",2018.0,6.0,12.0,Tuesday,2018-06-12,1.37,4,Positive,0.30857474747474745,0.49431821273964127
12,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090.0,27.0,100000.0,Free,0.0,Everyone,"['Vehicles', 'Auto']",2018.0,7.0,3.0,Tuesday,2018-07-03,1.7,4.2,Positive,0.29566032132549985,0.559805860222877
13,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920.0,16.0,10000000.0,Free,0.0,Teen,"['Vehicles', 'Auto']",2018.0,7.0,11.0,Wednesday,2018-07-11,Varies,5,Positive,0.28779230407542616,0.5447434959291718
14,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994.0,2.9,100000.0,Free,0.0,Everyone,"['Vehicles', 'Auto']",2018.0,3.0,27.0,Tuesday,2018-03-27,1.6,4.1,Negative,-0.13333333333333328,0.48888888888888893
15,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348.0,38.0,100000.0,Free,0.0,Everyone,"['Vehicles', 'Auto']",2018.0,7.0,29.0,Sunday,2018-07-29,1.0.3,2.3,Positive,0.2881385281385282,0.5127633477633478
16,AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372.0,Varies,1000000.0,Free,0.0,Everyone,"['Vehicles', 'Auto']",2018.0,8.0,3.0,Friday,2018-08-03,Varies,Varies,Positive,0.41354516806722685,0.5507703081232493
17,Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786.0,Varies,1000000.0,Free,0.0,Everyone,"['Vehicles', 'Auto']",2018.0,8.0,2.0,Thursday,2018-08-02,Varies,4.0.3,Positive,0.43443802764923456,0.5262512806478324
18,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739.0,21.0,500000.0,Free,0.0,Everyone,['Beauty'],2018.0,7.0,12.0,Thursday,2018-07-12,1.0.6,4.0.3,Negative,-0.06342189314750289,0.3903300425861402
19,Hairstyles step by step,BEAUTY,4.6,4369.0,14.0,100000.0,Free,0.0,Everyone,['Beauty'],2018.0,7.0,25.0,Wednesday,2018-07-25,1.9,4.0.3,Positive,0.4890251068376068,0.6138970288970289
20,Filters for Selfie,BEAUTY,4.3,8572.0,25.0,1000000.0,Free,0.0,Everyone,['Beauty'],2018.0,5.0,10.0,Thursday,2018-05-10,1.1,4,Positive,0.09912037037037036,0.5278946208112875
21,Beauty Camera - Selfie Camera,BEAUTY,4.0,113715.0,Varies,10000000.0,Free,0.0,Everyone,['Beauty'],2017.0,8.0,3.0,Thursday,2017-08-03,Varies,Varies,Positive,0.19999366181657846,0.4508201058201058
22,Filters for B Live,BEAUTY,4.4,2280.0,24.0,500000.0,Free,0.0,Everyone,['Beauty'],2018.0,5.0,14.0,Monday,2018-05-14,1.1,4,Positive,0.1531217345872518,0.37471264367816093
23,Dresses Ideas & Fashions +3000,BEAUTY,4.5,473.0,8.2,100000.0,Free,0.0,Mature 17+,['Beauty'],2017.0,3.0,1.0,Wednesday,2017-03-01,1.0.2,1.6,Positive,0.4306034482758621,0.5574667031563583
24,Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080.0,Varies,100000000.0,Free,0.0,Teen,"['Books', 'Reference']",2018.0,7.0,27.0,Friday,2018-07-27,Varies,Varies,Positive,0.08251769938408994,0.44605058945439496
25,Cool Reader,BOOKS_AND_REFERENCE,4.5,246315.0,Varies,10000000.0,Free,0.0,Everyone,"['Books', 'Reference']",2015.0,7.0,17.0,Friday,2015-07-17,Varies,1.5,Positive,0.11584079160970608,0.4773699162679426
26,Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060.0,Varies,10000000.0,Free,0.0,Everyone,"['Books', 'Reference']",2018.0,5.0,18.0,Friday,2018-05-18,Varies,Varies,Positive,0.23873106060606059,0.46232112794612795
